string
description: px_shifted, calibration parameter: [ 1.35000e-02  2.13000e+00  2.07426e+03  3.40400e+00  2.50000e+03
 -1.80000e+03]
file20210628_00135_binn back: data/straylight_50ms/RZP-structure:___RZPA9-S2_50ms roi list:[0, 380, 1730, 1670]
nm eV counts/s
3.5205848721753368 352.1693057001371 416585.12
3.5198113189909233 352.246702373762 508509.03
3.5190378260549795 352.3241270419421 708447.75
3.5182643933677364 352.4015797191406 813339.6
3.5174910209291936 352.47906041985374 709593.0
3.5167177087393515 352.5565691585874 713523.8
3.5159444567984397 352.6341059498345 715333.44
3.515171265106459 352.71167080812063 694265.6
3.5143981336634087 352.7892637479815 697245.7
3.5136250624695196 352.8668847839395 779160.0
3.512852051525022 352.944533930527 813576.4
3.512079100829455 353.0222112023554 785154.3
3.5113062103835095 353.0999166139307 793545.94
3.510533380187186 353.17765017983805 869532.75
3.509760610240023 353.2554119147189 790636.8
3.508987900542712 353.3332018331087 759019.1
3.508215251095253 353.41101994962247 697756.94
3.5074426618974153 353.4888662789085 714113.1
3.5066701329496603 353.56674083555515 750141.6
3.5058976642517568 353.6446436342307 709557.56
3.5051252558039354 353.7225746895668 732582.0
3.5043529076061963 353.8005340162282 669664.6
3.50358061965877 353.87852162886674 662911.6
3.502808391961656 353.9565375421672 696247.0
3.5020362245150847 354.03458177080137 734527.6
3.5012641173188257 354.11265432949745 720510.0
3.50049207037334 354.1907552329238 609083.2
3.4997200836783966 354.26888449582884 693014.25
3.4989481572342265 354.3470421329243 689508.75
3.4981762910408296 354.42522815895535 719041.6
3.497404485098436 354.50344258865397 713751.75
3.496632739407276 354.5816854367621 681262.4
3.495861053966889 354.65995671810174 773487.25
3.495089428777966 354.7382564473884 767389.0
3.4943178638400463 354.8165846394644 736604.4
3.4935463591535902 354.89494130908884 753006.2
3.4927749147188285 354.97332647105395 803845.56
3.4920035305353005 355.0517401402326 825147.56
3.491232206603467 355.13018233141406 721896.4
3.490460942923327 355.2086530594447 687613.5
3.489689739495112 355.2871523391574 760098.4
3.4889185963188214 355.36568018541874 832245.4
3.488147513394225 355.44423661312896 809588.1
3.4873764907217835 355.5228216371281 732803.0
3.4866055283014967 355.60143527231327 788269.94
3.485834626133595 355.68007753356835 871816.1
3.485063784217848 355.7587484358344 745694.75
3.4842930025544856 355.83744799401563 613729.25
3.483522281143739 355.91617622302647 690389.06
3.4827516199853776 355.9949331378388 848845.56
3.481981019079862 356.07371875336395 708719.7
3.481210478426961 356.1525330845942 675440.25
3.4804399980269065 356.231376146485 582209.1
