string
description: px_shifted, calibration parameter: [ 1.19531225e-04 -2.30194563e-02  6.18194146e+02]
converted file:R_100ms_Fe_S3_x_2_7_binned_y back: data/dark_100msRZP-structure:___RZP_S3100msRoi:[0, 1040, 2048, 2048]
eV counts/s
618.1712462133476 2200557.2
618.1485853507007 1973482.6
618.1261635505048 1529935.2
618.1039808127597 1842718.9
618.0820371374655 2044838.8
618.0603325246223 2439561.2
618.0388669742298 2569040.0
618.0176404862883 2372286.8
617.9966530607976 2667419.8
617.9759046977579 2977259.5
617.955395397169 2796194.8
617.9351251590311 1961945.6
617.9150939833439 1749464.0
617.8953018701078 1986803.8
617.8757488193226 2666736.2
617.8564348309881 3038931.2
617.8373599051046 2577417.2
617.8185240416719 2589231.5
617.7999272406903 2274971.2
617.7815695021593 2636902.8
617.7634508260794 2577947.8
617.7455712124504 2082928.8
617.7279306612722 1757464.8
617.7105291725449 2103393.5
617.6933667462686 1889213.1
617.676443382443 1904226.2
617.6597590810685 2207979.2
617.6433138421447 2476484.8
617.6271076656718 2575580.2
617.6111405516499 2433611.2
617.5954125000789 2274159.5
617.5799235109587 2258674.5
617.5646735842894 2176583.5
617.5496627200711 2644248.8
617.5348909183035 3089906.2
617.520358178987 3150125.0
617.5060645021213 3269313.8
617.4920098877064 3119511.2
617.4781943357425 3181007.2
617.4646178462295 3244417.8
617.4512804191673 3184797.2
617.4381820545561 3158950.2
617.4253227523957 3169596.2
617.4127025126862 2997548.0
617.4003213354276 2581708.5
617.3881792206199 2441699.0
617.3762761682632 2550598.5
617.3646121783572 2359124.0
617.3531872509022 2390150.2
617.342001385898 2471889.5
617.3310545833449 2170196.8
617.3203468432424 2135807.2
617.309878165591 2369026.0
617.2996485503904 2470325.8
617.2896579976408 2455374.0
617.2799065073419 2563406.5
617.270394079494 2764647.0
617.261120714097 3137036.5
617.2520864111508 3222033.0
617.2432911706557 2966231.2
617.2347349926113 3234373.8
617.2264178770179 3314796.0
617.2183398238752 3463354.0
