string
description: px_shifted, calibration parameter: [ 1.19531225e-04 -2.30194563e-02  6.18194146e+02]
converted file:R_100ms_Fe_S3_x_1_6_binned_y back: data/dark_100msRZP-structure:___RZP_S3100msRoi:[0, 1040, 2048, 2048]
eV counts/s
618.1712462133476 1685118.9
618.1485853507007 1486398.8
618.1261635505048 2016580.1
618.1039808127597 2227999.5
618.0820371374655 1874239.8
618.0603325246223 1871902.0
618.0388669742298 1771400.0
618.0176404862883 1902682.0
617.9966530607976 1806315.0
617.9759046977579 1997583.5
617.955395397169 1968073.5
617.9351251590311 1968634.9
617.9150939833439 2275970.0
617.8953018701078 2249416.5
617.8757488193226 2320441.5
617.8564348309881 1825811.1
617.8373599051046 1689576.2
617.8185240416719 2029748.9
617.7999272406903 2285696.0
617.7815695021593 1859155.0
617.7634508260794 1461104.0
617.7455712124504 1399293.8
617.7279306612722 1454485.6
617.7105291725449 1602147.5
617.6933667462686 1483808.2
617.676443382443 1502619.4
617.6597590810685 1736240.0
617.6433138421447 1943317.4
617.6271076656718 1724384.8
617.6111405516499 1311864.9
617.5954125000789 1724109.4
617.5799235109587 2016007.6
617.5646735842894 2094195.0
617.5496627200711 2012076.9
617.5348909183035 1854014.5
617.520358178987 2250295.2
617.5060645021213 2880888.5
617.4920098877064 2774666.5
617.4781943357425 2716189.0
617.4646178462295 2686668.8
617.4512804191673 2804317.0
617.4381820545561 3008118.5
617.4253227523957 2375319.0
617.4127025126862 2045304.4
617.4003213354276 1908174.4
617.3881792206199 1921961.0
617.3762761682632 1678418.9
617.3646121783572 1663006.0
617.3531872509022 1484957.4
617.342001385898 1553223.9
617.3310545833449 1519622.5
617.3203468432424 1882873.9
617.309878165591 1767556.1
617.2996485503904 1489510.0
617.2896579976408 1333002.4
617.2799065073419 1296184.0
617.270394079494 2072742.6
617.261120714097 2554925.2
617.2520864111508 2434827.0
617.2432911706557 2436852.5
617.2347349926113 2771728.0
617.2264178770179 2999217.5
617.2183398238752 2894711.2
617.2105008331837 2379422.5
617.2029009049428 2649229.0
617.195540039153 2610346.8
617.188418235814 2266071.0
617.1815354949258 2372367.0
617.1748918164886 1887752.4
617.1684872005023 2018991.1
617.1623216469668 2301436.5
617.1563951558823 2846833.8
617.1507077272486 3299422.5
617.1452593610658 3406643.5
617.140050057334 4038424.5
617.1350798160529 3505156.2
617.1303486372229 3829635.2
617.1258565208436 3659182.0
617.1216034669154 3264009.8
617.1175894754379 3818547.5
617.1138145464114 3891946.0
617.1102786798357 3925295.5
617.106981875711 3362320.5
617.1039241340371 2962955.0
617.1011054548142 2992671.5
617.0985258380421 3480292.0
617.0961852837207 3737264.8
617.0940837918505 3336846.2
617.092221362431 3376680.2
617.0905979954625 3179569.5
617.0892136909449 3151231.2
617.0880684488782 3640244.0
617.0871622692623 3989019.5
617.0864951520974 5142465.0
617.0860670973833 6024060.5
617.0858781051202 7221763.0
617.0859281753078 7060344.0
617.0862173079464 6248222.5
617.0867455030359 4539207.0
617.0875127605763 2905208.5
617.0885190805675 1928317.2
617.0897644630096 1207891.8
617.0912489079027 1134470.9
617.0929724152465 1412482.5
617.0949349850415 1471577.5
617.0971366172871 1818437.6
617.0995773119838 1927536.4
617.1022570691313 1711063.9
617.1051758887297 1132896.1
617.1083337707789 1046435.25
617.1117307152791 1310372.1
617.1153667222302 1336516.1
617.1192417916321 1574213.9
617.123355923485 1867853.6
617.1277091177888 2094224.2
617.1323013745433 2154393.0
617.1371326937488 2888506.0
617.1422030754052 3457283.8
617.1475125195125 4236189.0
617.1530610260706 4943402.5
617.1588485950797 6215164.5
617.1648752265397 6831347.0
617.1711409204505 6320331.0
617.1776456768123 6013792.5
617.1843894956249 5208226.0
617.1913723768885 4482485.5
617.1985943206029 4674514.0
617.2060553267681 5578172.5
617.2137553953843 5866650.5
617.2216945264513 5641097.0
617.2298727199694 4433962.0
617.2382899759382 2730297.8
617.246946294358 1730110.6
617.2558416752286 1251143.1
617.2649761185502 1213761.5
617.2743496243226 1199476.8
617.2839621925459 939192.25
617.29381382322 861528.1
617.3039045163453 877342.4
617.3142342719211 1229777.1
617.3248030899481 907911.75
617.3356109704258 944343.0
617.3466579133545 1092942.8
617.357943918734 963182.4
617.3694689865644 684117.1
617.3812331168458 708426.6
617.3932363095779 704160.0
617.4054785647611 616392.25
617.417959882395 681964.9
617.43068026248 736369.3
617.4436397050157 570997.0
617.4568382100024 790348.2
617.47027577744 1421918.2
617.4839524073284 1907826.5
617.4978680996677 2681651.0
617.512022854458 3811994.5
617.526416671699 5255365.0
617.5410495513911 6346347.5
617.555921493534 6658794.0
617.5710324981277 5712632.5
617.5863825651725 4132134.0
617.601971694668 3274686.0
617.6177998866144 2957127.2
617.6338671410118 2854684.8
617.6501734578601 2443244.0
617.6667188371591 2249649.2
617.6835032789093 2685002.2
617.70052678311 3533969.0
617.7177893497619 3691433.8
617.7352909788646 3779856.2
617.7530316704182 3747434.8
617.7710114244226 3823067.5
617.7892302408779 3893857.2
617.8076881197842 3265610.0
617.8263850611413 3322015.2
617.8453210649494 4320021.0
617.8644961312083 5613776.0
617.8839102599181 8269508.0
617.9035634510788 11872136.0
617.9234557046905 15162235.0
617.9435870207528 15078860.0
617.9639573992663 13677038.0
617.9845668402305 11670110.0
618.0054153436457 8267045.0
618.0265029095117 5497368.0
618.0478295378288 3227773.8
618.0693952285965 2889857.5
618.0911999818152 2920864.0
618.1132437974848 2534788.5
618.1355266756052 1675512.6
618.1580486161766 1444441.4
618.180809619199 1092902.4
618.2038096846721 1042683.5
618.2270488125961 1435952.8
618.2505270029711 1487444.0
618.2742442557969 1225874.5
618.2982005710737 1319837.6
618.3223959488013 1457544.0
618.3468303889798 1173717.8
618.3715038916091 778139.3
618.3964164566895 819927.0
618.4215680842207 805635.1
618.4469587742026 1077162.6
618.4725885266356 857361.2
618.4984573415195 726354.75
618.5245652188543 1047069.3
618.5509121586398 1234044.8
618.5774981608764 1603531.2
618.6043232255638 1533698.8
618.6313873527021 1190153.6
618.6586905422912 1318477.2
618.6862327943314 1535071.4
618.7140141088223 1804613.6
618.7420344857642 2281594.8
618.7702939251569 3399568.5
618.7987924270005 6114935.0
618.827529991295 8188038.0
618.8565066180404 10427371.0
618.8857223072368 11238700.0
618.915177058884 9571048.0
618.944870872982 7417659.5
618.974803749531 5749087.0
619.004975688531 3944747.5
619.0353866899817 2459500.2
619.0660367538834 2162122.0
619.0969258802359 2376377.8
619.1280540690393 2487562.8
619.1594213202936 1873638.2
619.1910276339989 1628472.8
619.2228730101549 1357020.2
619.2549574487618 1225058.9
619.2872809498198 923609.75
619.3198435133286 985370.56
619.3526451392883 917139.4
619.3856858276988 730999.4
619.4189655785602 877208.9
619.4524843918725 1010775.4
619.4862422676358 1032908.6
619.5202392058499 846083.4
619.5544752065149 591100.75
619.5889502696308 840793.06
619.6236643951976 1313353.5
619.6586175832152 1673435.6
619.6938098336839 1890017.8
619.7292411466033 2694912.5
619.7649115219735 2559632.5
619.8008209597948 3261509.0
619.8369694600669 4321311.0
619.8733570227901 4956035.5
619.9099836479638 5401074.5
619.9468493355887 6176159.0
619.9839540856643 7155299.5
620.0212978981909 7197776.0
620.0588807731684 5594379.5
620.0967027105968 3883531.5
620.134763710476 2830080.5
620.1730637728062 2074723.1
620.2116028975872 1366244.8
620.2503810848191 1621754.8
620.2893983345019 1573068.8
620.3286546466355 1363066.8
620.3681500212202 1250571.6
620.4078844582556 1196759.8
620.447857957742 1075537.1
620.4880705196792 746140.3
620.5285221440674 639179.6
620.5692128309064 772367.4
620.6101425801965 937878.0
620.6513113919372 809717.4
620.692719266129 748334.1
620.7343662027715 1051694.0
620.7762522018651 749706.3
620.8183772634094 476748.8
620.8607413874046 501825.47
620.9033445738509 660938.25
620.9461868227478 564451.06
620.9892681340958 535042.9
621.0325885078946 870421.1
621.0761479441444 1004759.1
621.1199464428449 1075178.2
621.1639840039965 778612.9
621.2082606275989 749446.4
621.2527763136521 904164.6
621.2975310621563 525959.3
621.3425248731114 556866.25
621.3877577465173 586219.4
621.4332296823742 855708.06
621.478940680682 1035930.25
621.5248907414405 916156.0
621.5710798646501 844143.75
621.6175080503104 808779.44
621.6641752984218 940893.4
621.7110816089839 1041650.56
621.758226981997 1097463.5
621.8056114174609 892880.06
621.8532349153759 660005.94
621.9010974757415 899568.9
621.9491990985582 962776.8
621.9975397838257 819198.0
622.0461195315442 838522.44
622.0949383417135 880671.9
622.1439962143336 1266392.6
622.1932931494047 1629669.9
622.2428291469266 1372454.4
622.2926042068996 1559211.9
622.3426183293233 1485005.0
622.392871514198 1739635.0
622.4433637615234 1394942.4
622.4940950713 1158081.6
622.5450654435272 1264450.8
622.5962748782055 1202386.4
622.6477233753345 1093372.8
