string
description: px_shifted, calibration parameter: [ 1.19531225e-04 -2.30194563e-02  6.18194146e+02]
converted file:R_100ms_Fe_S3_x_1_10_binned_y back: data/dark_100msRZP-structure:___RZP_S3100msRoi:[0, 1040, 2048, 2048]
eV counts/s
618.1712462133476 1851481.2
618.1485853507007 1846775.0
618.1261635505048 1868323.9
618.1039808127597 2136731.5
618.0820371374655 2123297.0
618.0603325246223 2652129.5
618.0388669742298 2191055.5
618.0176404862883 2496934.0
617.9966530607976 2824182.5
617.9759046977579 2532267.5
617.955395397169 2113902.0
617.9351251590311 2222146.0
617.9150939833439 2253379.0
617.8953018701078 2325439.5
617.8757488193226 2416290.0
617.8564348309881 2145870.0
617.8373599051046 1966680.0
617.8185240416719 2168381.0
617.7999272406903 2160120.2
617.7815695021593 2226483.5
617.7634508260794 2328513.5
617.7455712124504 2812709.8
617.7279306612722 2588174.8
617.7105291725449 1898515.8
617.6933667462686 1961150.5
617.676443382443 1699067.6
617.6597590810685 2098219.2
617.6433138421447 2328341.5
617.6271076656718 2294761.8
617.6111405516499 2515098.5
617.5954125000789 2501664.8
617.5799235109587 2400054.2
617.5646735842894 2118473.5
617.5496627200711 1842344.4
617.5348909183035 2043265.2
617.520358178987 2437560.8
617.5060645021213 2330572.8
617.4920098877064 2519889.2
617.4781943357425 2749710.5
617.4646178462295 2824469.5
617.4512804191673 2986393.0
617.4381820545561 2976493.0
617.4253227523957 3271407.5
617.4127025126862 3313306.2
617.4003213354276 3224744.5
617.3881792206199 3408823.0
617.3762761682632 3099690.0
617.3646121783572 2479036.5
617.3531872509022 2115429.5
617.342001385898 2125121.5
617.3310545833449 2194669.8
617.3203468432424 1895374.0
617.309878165591 1784718.2
617.2996485503904 1929428.9
617.2896579976408 1577687.6
617.2799065073419 2005613.8
617.270394079494 1932364.4
617.261120714097 1893791.0
617.2520864111508 1828178.6
617.2432911706557 2361775.2
617.2347349926113 2958481.0
617.2264178770179 3402927.0
617.2183398238752 3653614.5
617.2105008331837 4146022.5
617.2029009049428 4069164.5
617.195540039153 3304638.8
617.188418235814 3441995.2
617.1815354949258 3050882.5
617.1748918164886 2941572.0
617.1684872005023 2475355.2
617.1623216469668 2473856.0
