string
description: px_shifted, calibration parameter: [ 1.19531225e-04 -2.30194563e-02  6.18194146e+02]
converted file:R_100ms_Fe_S3_x_2_48_binned_y back: data/dark_100msRZP-structure:___RZP_S3100msRoi:[0, 1040, 2048, 2048]
eV counts/s
618.1712462133476 2636819.0
618.1485853507007 2496120.5
618.1261635505048 2349158.8
618.1039808127597 2079549.8
618.0820371374655 2159301.0
618.0603325246223 2664660.0
618.0388669742298 2863346.0
618.0176404862883 2586643.5
617.9966530607976 2570339.8
617.9759046977579 2233561.8
617.955395397169 2637956.2
617.9351251590311 2786721.2
617.9150939833439 2614097.0
617.8953018701078 2669351.5
617.8757488193226 2704532.8
617.8564348309881 2309952.0
617.8373599051046 2707427.8
617.8185240416719 3098455.2
617.7999272406903 2574716.2
617.7815695021593 2244174.8
617.7634508260794 2391917.2
617.7455712124504 2993188.5
617.7279306612722 2951402.8
617.7105291725449 2591354.0
617.6933667462686 2493339.5
617.676443382443 2785660.0
617.6597590810685 2574158.0
617.6433138421447 2586613.0
617.6271076656718 2936913.8
617.6111405516499 2601239.5
617.5954125000789 2329278.8
617.5799235109587 2917285.0
617.5646735842894 3008764.5
617.5496627200711 2903602.5
617.5348909183035 3587027.2
617.520358178987 3647236.5
617.5060645021213 2952576.5
617.4920098877064 2834509.0
617.4781943357425 3045737.5
617.4646178462295 3741178.8
617.4512804191673 4009047.2
617.4381820545561 3704912.2
617.4253227523957 3857678.0
617.4127025126862 3657482.0
617.4003213354276 3356493.0
617.3881792206199 2518088.2
617.3762761682632 2212956.5
617.3646121783572 1729587.4
617.3531872509022 2077423.6
617.342001385898 2185123.2
617.3310545833449 2234483.8
617.3203468432424 2539356.5
617.309878165591 2406568.0
617.2996485503904 2579345.2
617.2896579976408 2406982.8
617.2799065073419 3053312.0
617.270394079494 3308193.8
617.261120714097 2891946.0
617.2520864111508 3346772.8
617.2432911706557 4143638.8
617.2347349926113 4600865.5
617.2264178770179 4459692.0
617.2183398238752 3996042.8
617.2105008331837 3753161.0
617.2029009049428 3782600.5
617.195540039153 3420378.8
617.188418235814 2945987.0
617.1815354949258 2864820.5
617.1748918164886 2844672.2
617.1684872005023 3007436.2
617.1623216469668 3450364.5
617.1563951558823 3679652.5
617.1507077272486 3365062.8
617.1452593610658 3978796.2
617.140050057334 4368437.0
617.1350798160529 4830504.5
617.1303486372229 5249953.0
617.1258565208436 5435475.5
617.1216034669154 5654591.0
617.1175894754379 5794005.0
617.1138145464114 6495916.0
617.1102786798357 6031452.0
