string
description: px_shifted, calibration parameter: [ 1.19531225e-04 -2.30194563e-02  6.18194146e+02]
converted file:R_100ms_Fe_S3_x_1_21_binned_y back: data/dark_100msRZP-structure:___RZP_S3100msRoi:[0, 1040, 2048, 2048]
eV counts/s
618.1712462133476 1847205.2
618.1485853507007 1992559.2
618.1261635505048 2104508.8
618.1039808127597 2056279.9
618.0820371374655 1839377.5
618.0603325246223 1623379.8
618.0388669742298 2050632.0
618.0176404862883 2188809.0
617.9966530607976 2075472.6
617.9759046977579 1699515.2
617.955395397169 1970833.8
617.9351251590311 2169272.8
617.9150939833439 2311106.0
617.8953018701078 2385680.2
617.8757488193226 2391477.0
617.8564348309881 2610010.8
617.8373599051046 2509452.8
617.8185240416719 2298861.8
617.7999272406903 2178259.2
617.7815695021593 2292836.0
617.7634508260794 2211885.5
617.7455712124504 2140644.8
617.7279306612722 1739243.8
617.7105291725449 1579425.2
617.6933667462686 1493826.2
617.676443382443 1661588.2
617.6597590810685 1761850.0
617.6433138421447 1857990.0
617.6271076656718 2031817.4
617.6111405516499 1895504.0
617.5954125000789 1615054.5
617.5799235109587 1739089.4
617.5646735842894 1751758.2
617.5496627200711 1789925.6
617.5348909183035 2365385.0
617.520358178987 2363713.0
617.5060645021213 2663226.5
617.4920098877064 3152448.5
617.4781943357425 3098456.5
617.4646178462295 3387759.8
617.4512804191673 3029697.5
617.4381820545561 2909778.0
617.4253227523957 3033617.8
617.4127025126862 2334079.0
617.4003213354276 2570948.5
617.3881792206199 2563602.2
617.3762761682632 2331860.5
617.3646121783572 1871708.6
617.3531872509022 2078746.0
617.342001385898 2099476.8
617.3310545833449 1736034.2
617.3203468432424 1834172.2
617.309878165591 1988143.6
617.2996485503904 2087876.8
617.2896579976408 2009669.8
617.2799065073419 1711394.5
617.270394079494 2163453.0
617.261120714097 2306563.5
617.2520864111508 2654323.8
617.2432911706557 2500765.2
617.2347349926113 2822782.8
617.2264178770179 3673948.8
617.2183398238752 3984227.5
617.2105008331837 3444050.5
617.2029009049428 2633902.8
617.195540039153 1791949.4
617.188418235814 1768925.5
617.1815354949258 2611951.5
617.1748918164886 2558746.5
617.1684872005023 2216622.0
617.1623216469668 2407340.2
617.1563951558823 2473516.0
617.1507077272486 3101203.8
617.1452593610658 3454742.0
617.140050057334 3422184.8
617.1350798160529 3488278.0
617.1303486372229 3508666.2
617.1258565208436 3190417.8
617.1216034669154 3527273.0
617.1175894754379 3596868.5
617.1138145464114 4221438.0
617.1102786798357 4732567.0
617.106981875711 4910145.5
617.1039241340371 4599580.5
617.1011054548142 4318812.5
617.0985258380421 3670581.0
617.0961852837207 3146761.2
617.0940837918505 2729266.0
617.092221362431 2840874.5
617.0905979954625 3473830.2
617.0892136909449 3802338.0
617.0880684488782 4031301.2
617.0871622692623 4074704.8
617.0864951520974 4573100.0
617.0860670973833 5927885.0
617.0858781051202 7494149.5
617.0859281753078 8885271.0
617.0862173079464 9387396.0
617.0867455030359 7996695.0
617.0875127605763 5701665.0
617.0885190805675 2824468.5
617.0897644630096 1714837.5
617.0912489079027 1511600.6
617.0929724152465 1269700.2
617.0949349850415 1355882.2
617.0971366172871 1289117.2
617.0995773119838 1407157.0
617.1022570691313 1386616.4
617.1051758887297 1512683.0
617.1083337707789 1223235.6
617.1117307152791 1661855.1
617.1153667222302 1662932.8
617.1192417916321 1878005.8
617.123355923485 1797963.9
617.1277091177888 2380244.5
617.1323013745433 2431784.0
617.1371326937488 2887670.5
617.1422030754052 3585596.0
617.1475125195125 4067672.5
617.1530610260706 4832834.5
617.1588485950797 4718534.5
617.1648752265397 5667735.0
617.1711409204505 6748424.5
617.1776456768123 6845409.5
617.1843894956249 6826410.5
617.1913723768885 6194460.0
617.1985943206029 5342414.5
617.2060553267681 5541644.0
617.2137553953843 7017672.0
617.2216945264513 7734420.5
617.2298727199694 6694457.5
617.2382899759382 5168784.5
617.246946294358 3259177.8
617.2558416752286 1984001.2
617.2649761185502 1722533.8
617.2743496243226 1650942.2
617.2839621925459 1295557.0
617.29381382322 823043.06
617.3039045163453 746619.06
617.3142342719211 836212.5
617.3248030899481 719756.5
617.3356109704258 439262.8
617.3466579133545 968322.8
617.357943918734 1065471.0
617.3694689865644 976902.6
617.3812331168458 1029596.0
617.3932363095779 1048738.0
617.4054785647611 958868.25
617.417959882395 1083273.0
617.43068026248 822354.5
617.4436397050157 761329.44
617.4568382100024 1071747.8
617.47027577744 1050117.4
617.4839524073284 1457908.2
617.4978680996677 1970826.2
617.512022854458 3265069.8
617.526416671699 5057735.5
617.5410495513911 6996885.0
617.555921493534 9304924.0
617.5710324981277 9560427.0
617.5863825651725 7560153.0
617.601971694668 6051921.0
617.6177998866144 4091976.0
617.6338671410118 2922627.2
617.6501734578601 2664962.8
617.6667188371591 2874053.5
617.6835032789093 2760989.5
617.70052678311 2948713.5
617.7177893497619 4127657.2
617.7352909788646 4874024.5
617.7530316704182 5319878.0
617.7710114244226 4703695.5
617.7892302408779 4090508.0
617.8076881197842 3839237.8
617.8263850611413 3137589.5
617.8453210649494 3576676.5
617.8644961312083 4319312.5
617.8839102599181 5735967.5
617.9035634510788 8232809.0
617.9234557046905 12158556.0
617.9435870207528 15429441.0
617.9639573992663 16766799.0
617.9845668402305 16767250.0
618.0054153436457 13656864.0
618.0265029095117 9630385.0
618.0478295378288 6397629.0
618.0693952285965 4163595.0
618.0911999818152 3503910.5
618.1132437974848 2612405.2
618.1355266756052 2260376.0
618.1580486161766 1952062.0
618.180809619199 1490892.0
618.2038096846721 1292202.1
618.2270488125961 1391673.2
618.2505270029711 1314153.8
618.2742442557969 1435354.5
618.2982005710737 1288343.9
618.3223959488013 1287527.8
618.3468303889798 1126554.9
618.3715038916091 1093068.4
618.3964164566895 950769.4
618.4215680842207 1199946.5
618.4469587742026 1211595.2
618.4725885266356 1272972.4
618.4984573415195 1250191.8
618.5245652188543 1159694.4
618.5509121586398 1190899.0
618.5774981608764 1426014.8
618.6043232255638 1766090.8
618.6313873527021 1721349.4
618.6586905422912 1372334.0
618.6862327943314 1345516.5
618.7140141088223 1401991.4
618.7420344857642 1812104.2
618.7702939251569 3081716.0
618.7987924270005 4480650.5
618.827529991295 6349994.0
618.8565066180404 9366858.0
618.8857223072368 12387610.0
618.915177058884 12543124.0
618.944870872982 10755282.0
618.974803749531 8220392.5
619.004975688531 5941066.0
619.0353866899817 4847889.5
619.0660367538834 3600048.8
619.0969258802359 2998042.2
619.1280540690393 2190279.5
619.1594213202936 1763900.2
619.1910276339989 1563867.4
619.2228730101549 1847223.1
619.2549574487618 1946369.8
619.2872809498198 1965397.8
619.3198435133286 1673212.0
619.3526451392883 1458169.8
619.3856858276988 970549.5
619.4189655785602 617399.06
619.4524843918725 572989.06
619.4862422676358 827635.9
619.5202392058499 846128.25
619.5544752065149 897763.4
619.5889502696308 823941.25
619.6236643951976 726792.56
619.6586175832152 950983.4
619.6938098336839 1150685.9
619.7292411466033 1161396.5
619.7649115219735 1559429.8
619.8008209597948 2567003.0
619.8369694600669 3497290.2
619.8733570227901 4494632.5
619.9099836479638 5404166.0
619.9468493355887 6541975.0
619.9839540856643 9112934.0
620.0212978981909 8850083.0
620.0588807731684 7261635.5
620.0967027105968 6061039.5
620.134763710476 4329589.5
620.1730637728062 2830550.0
620.2116028975872 1558501.5
620.2503810848191 1170065.5
620.2893983345019 1723174.0
620.3286546466355 1520008.8
620.3681500212202 1420906.4
620.4078844582556 1221192.0
620.447857957742 1211640.8
620.4880705196792 1097896.5
620.5285221440674 1008310.3
620.5692128309064 936599.44
620.6101425801965 851557.6
620.6513113919372 511937.97
620.692719266129 565137.1
620.7343662027715 626234.3
620.7762522018651 958995.0
620.8183772634094 962746.6
620.8607413874046 748478.5
620.9033445738509 693205.25
620.9461868227478 678438.25
620.9892681340958 925431.1
621.0325885078946 980802.75
621.0761479441444 1301400.5
621.1199464428449 1196308.5
621.1639840039965 1317228.2
621.2082606275989 1081972.8
621.2527763136521 1305725.4
621.2975310621563 1157965.2
621.3425248731114 782218.9
621.3877577465173 752166.5
621.4332296823742 989828.0
621.478940680682 1197307.8
621.5248907414405 904479.75
621.5710798646501 763226.0
621.6175080503104 993182.2
621.6641752984218 1470960.0
621.7110816089839 1286336.1
621.758226981997 1006460.25
621.8056114174609 1236324.4
621.8532349153759 746720.25
621.9010974757415 638175.94
621.9491990985582 1164508.9
621.9975397838257 1137657.0
622.0461195315442 1102968.4
622.0949383417135 1207701.4
622.1439962143336 1023601.1
622.1932931494047 836623.0
622.2428291469266 1142349.9
622.2926042068996 1275794.8
622.3426183293233 1355491.0
622.392871514198 1359115.0
622.4433637615234 1256836.4
622.4940950713 1292831.8
622.5450654435272 1382321.9
622.5962748782055 1371300.8
622.6477233753345 1235506.4
622.6994109349146 1241802.0
622.7513375569454 1721952.8
622.8035032414273 1530603.9
622.8559079883598 1754124.0
622.9085517977434 2190013.5
622.9614346695778 2072063.5
623.0145566038631 2029213.6
623.0679176005993 2258454.5
623.1215176597865 2111564.5
623.1753567814245 1666908.2
623.2294349655133 1711850.5
623.2837522120532 1927733.0
623.3383085210438 2069152.2
623.3931038924854 2060987.2
623.4481383263778 2058620.6
623.5034118227212 2372066.0
623.5589243815153 3582014.5
623.6146760027606 4280271.0
623.6706666864566 5405400.0
623.7268964326033 7091289.0
623.7833652412012 7702512.0
623.8400731122499 7017809.5
623.8970200457495 5358304.5
623.9542060416999 4292805.5
624.0116311001013 3037217.2
624.0692952209534 1732192.0
624.1271984042567 1695388.2
624.1853406500106 1840015.8
624.2437219582156 1589173.9
624.3023423288714 1420439.0
624.3612017619781 1399598.8
624.4203002575357 1137462.6
624.4796378155443 1480501.4
624.5392144360035 1304061.6
624.5990301189137 1006343.06
624.659084864275 685930.94
624.7193786720869 944075.9
624.7799115423499 1083670.1
624.8406834750637 1009063.9
624.9016944702284 859313.1
624.962944527844 1165151.0
625.0244336479105 1078708.6
625.0861618304278 872701.2
625.1481290753961 758706.5
625.2103353828153 1057923.4
625.2727807526853 1442224.0
625.3354651850062 1847478.0
625.398388679778 1746898.0
625.4615512370008 1756440.5
625.5249528566744 2005780.2
625.5885935387989 2047206.1
625.6524732833743 2301568.8
625.7165920904006 2521673.0
625.7809499598777 3149576.2
625.8455468918058 3686532.0
625.9103828861847 4073212.5
625.9754579430146 4749215.0
626.0407720622953 4395514.0
626.106325244027 2798774.8
626.1721174882094 2377807.2
626.2381487948429 2086994.2
626.3044191639272 1796211.9
626.3709285954623 1446623.1
626.4376770894484 1581407.6
626.5046646458853 1765952.0
626.5718912647732 1887328.8
626.6393569461119 1587284.4
626.7070616899016 1680786.1
626.7750054961421 1793235.1
626.8431883648335 1718599.0
626.9116102959758 1131405.6
626.980271289569 985631.9
627.0491713456131 1217569.5
627.1183104641082 1134174.0
627.1876886450539 953809.0
627.2573058884507 1196819.5
627.3271621942984 1380223.5
627.3972575625968 1322277.2
627.4675919933463 1577400.2
627.5381654865465 1658173.8
627.6089780421978 1896863.0
627.6800296602999 2287638.2
627.7513203408529 2544803.5
627.8228500838567 2735742.2
627.8946188893116 3542648.0
627.9666267572171 4040317.8
628.0388736875738 3062206.5
628.1113596803812 2309478.2
628.1840847356395 1509232.8
628.2570488533487 940894.4
628.3302520335087 1281356.1
628.4036942761198 1284794.9
628.4773755811816 1246630.5
628.5512959486945 1440682.5
628.6254553786581 1606466.9
628.6998538710727 2160001.0
628.7744914259381 3007706.2
628.8493680432545 3002093.0
628.9244837230217 2594882.2
628.9998384652398 2360692.0
629.0754322699088 2058741.5
629.1512651370288 2350230.2
629.2273370665995 2875638.8
629.3036480586212 3592730.2
629.3801981130938 4110288.0
629.4569872300171 4007116.2
629.5340154093916 3648018.5
