string
description: [1.350e-02 2.130e+00 1.338e+03 3.713e+00 2.479e+03 0.000e+00] RZPA9-S3_105ms
file210315_PM052621.tif back:data/stray_light/945ms_strayl roi list:[0, 380, 1730, 1670]
nm eV counts/s
1.884063959121704 658.0678100585938 106260.2890625
1.883592128753662 658.232666015625 100760.6796875
1.8831202983856201 658.3976440429688 106843.6953125
1.8826484680175781 658.5626220703125 103300.28125
1.8821767568588257 658.7277221679688 103417.828125
1.8817051649093628 658.892822265625 88619.59375
1.8812334537506104 659.0579833984375 91083.1171875
1.8807618618011475 659.2232666015625 90897.96875
1.8802902698516846 659.3886108398438 102759.078125
1.8798187971115112 659.553955078125 102621.703125
1.879347324371338 659.7194213867188 95311.46875
1.8788758516311646 659.885009765625 101187.421875
1.8784044981002808 660.050537109375 92458.796875
1.877933144569397 660.2162475585938 97361.578125
1.8774617910385132 660.3820190429688 110252.1953125
1.876990556716919 660.5477905273438 107712.0
1.8765192031860352 660.7136840820312 111455.8671875
1.8760480880737305 660.879638671875 112705.3828125
1.8755768537521362 661.045654296875 123891.6484375
1.8751057386398315 661.2117919921875 133108.5625
1.8746346235275269 661.3778686523438 124733.1796875
1.8741636276245117 661.544189453125 117797.75
1.8736926317214966 661.71044921875 117319.703125
1.8732216358184814 661.8768310546875 115622.5078125
1.8727507591247559 662.0432739257812 98480.2421875
1.8722798824310303 662.209716796875 107375.625
1.8718090057373047 662.3763427734375 105682.09375
1.871338129043579 662.5430297851562 108211.0390625
1.870867371559143 662.709716796875 100758.1171875
1.8703967332839966 662.87646484375 103053.953125
1.8699259757995605 663.0433349609375 110705.3125
1.869455337524414 663.2102661132812 111410.1953125
1.8689846992492676 663.3772583007812 113376.109375
1.8685141801834106 663.5443115234375 114515.78125
1.8680436611175537 663.7114868164062 108740.8203125
1.8675731420516968 663.8787231445312 115412.375
1.8671026229858398 664.0460205078125 114559.7578125
1.8666322231292725 664.2133178710938 109767.28125
1.8661619424819946 664.3806762695312 131660.171875
1.8656915426254272 664.5482177734375 113859.125
1.8652212619781494 664.7156982421875 107865.171875
1.8647509813308716 664.8833618164062 97997.953125
1.8642808198928833 665.0510864257812 110483.609375
1.863810658454895 665.2188110351562 116564.421875
1.8633404970169067 665.38671875 122491.3203125
1.8628703355789185 665.5546264648438 123290.3515625
1.8624002933502197 665.7225952148438 114844.140625
1.8619303703308105 665.890625 130334.1875
1.8614603281021118 666.0587768554688 126204.890625
1.8609904050827026 666.2269287109375 112030.6015625
1.8605204820632935 666.395263671875 111014.9453125
1.8600506782531738 666.5635375976562 107515.4921875
1.8595808744430542 666.73193359375 109602.78125
1.8591110706329346 666.9004516601562 104942.359375
1.858641266822815 667.0689697265625 115084.8359375
1.8581715822219849 667.2376098632812 107087.03125
1.8577018976211548 667.4063110351562 108433.6640625
1.8572323322296143 667.5750732421875 101752.0234375
1.8567627668380737 667.743896484375 106880.3125
1.8562932014465332 667.9127807617188 106788.3671875
1.8558237552642822 668.0817260742188 108768.6875
1.8553541898727417 668.2508544921875 107959.625
1.8548848628997803 668.419921875 111125.9296875
1.8544154167175293 668.589111328125 101408.640625
1.8539460897445679 668.7583618164062 109354.9453125
1.8534767627716064 668.927734375 106929.0546875
1.8530075550079346 669.0971069335938 117063.9375
1.8525383472442627 669.2665405273438 117988.3984375
1.8520691394805908 669.4361572265625 113400.640625
1.851599931716919 669.6057739257812 104411.921875
1.8511308431625366 669.7754516601562 103928.1953125
1.8506617546081543 669.9451904296875 115057.9609375
1.8501927852630615 670.114990234375 109532.1796875
1.8497238159179688 670.284912109375 117849.2265625
1.849254846572876 670.4548950195312 120762.859375
1.8487858772277832 670.625 120058.703125
1.84831702709198 670.7951049804688 121866.0390625
1.8478481769561768 670.9652709960938 116390.5
1.847379446029663 671.1355590820312 136109.125
1.8469107151031494 671.3058471679688 134538.921875
1.8464419841766357 671.4762573242188 127770.5703125
1.845973253250122 671.6467895507812 132349.90625
1.845504641532898 671.8173217773438 135511.171875
1.8450360298156738 671.9879150390625 132884.25
1.8445675373077393 672.1586303710938 137411.59375
1.8440990447998047 672.3294067382812 111090.1328125
1.8436305522918701 672.500244140625 125840.7734375
1.8431620597839355 672.6712036132812 126235.5
1.8426936864852905 672.8421630859375 124006.546875
1.8422253131866455 673.01318359375 109043.3984375
1.84175705909729 673.184326171875 121608.265625
1.8412888050079346 673.3555297851562 117165.6015625
1.840820550918579 673.5267944335938 105632.25
1.8403522968292236 673.6981811523438 102287.84375
1.8398841619491577 673.8695678710938 106302.3671875
1.8394160270690918 674.0410766601562 107241.5390625
1.8389480113983154 674.2125854492188 115132.0
1.838479995727539 674.38427734375 116602.171875
1.8380119800567627 674.5559692382812 119310.4375
1.8375439643859863 674.727783203125 103258.0703125
1.8370760679244995 674.8995971679688 107691.0625
1.8366081714630127 675.0715942382812 111822.2109375
1.8361403942108154 675.2435302734375 111366.609375
1.8356724977493286 675.4157104492188 112568.2109375
1.835204839706421 675.5877685546875 115254.0390625
1.8347370624542236 675.760009765625 117872.625
1.834269404411316 675.9323120117188 102672.65625
1.8338017463684082 676.1046752929688 102313.421875
1.83333420753479 676.277099609375 115005.40625
1.8328665494918823 676.4496459960938 118817.4921875
1.8323991298675537 676.6221923828125 129725.578125
1.8319315910339355 676.794921875 118018.921875
1.831464171409607 676.9676513671875 113491.46875
1.8309967517852783 677.1404418945312 105695.0625
1.8305293321609497 677.3133544921875 104227.5625
1.8300620317459106 677.486328125 116537.03125
1.8295947313308716 677.6593627929688 114488.6171875
1.829127550125122 677.8323974609375 109369.671875
1.8286603689193726 678.005615234375 118608.6171875
1.828193187713623 678.1788330078125 115328.0625
1.8277260065078735 678.3521728515625 112277.5546875
1.8272589445114136 678.5255737304688 107403.96875
1.8267918825149536 678.6990966796875 118413.984375
1.8263249397277832 678.8726196289062 125447.8515625
1.8258578777313232 679.0462646484375 118409.6796875
1.8253909349441528 679.219970703125 107742.4296875
1.824924111366272 679.3936767578125 123249.1171875
1.8244572877883911 679.5675659179688 126515.8671875
1.8239904642105103 679.741455078125 114660.3984375
1.8235236406326294 679.91552734375 126607.953125
1.823056936264038 680.0895385742188 111621.3125
1.8225902318954468 680.263671875 108010.2109375
1.822123646736145 680.4379272460938 111951.5390625
1.8216569423675537 680.6121826171875 115135.75
1.821190357208252 680.7865600585938 122313.7890625
1.8207238912582397 680.9609985351562 116727.8203125
1.8202574253082275 681.135498046875 115575.5390625
1.8197909593582153 681.3101196289062 108317.9296875
1.8193244934082031 681.4848022460938 113627.140625
1.8188581466674805 681.6595458984375 106129.5
1.8183917999267578 681.8343505859375 116179.6015625
1.8179255723953247 682.0092163085938 111336.421875
1.817459225654602 682.1842041015625 126279.1015625
1.816992998123169 682.3592529296875 123720.578125
1.8165268898010254 682.5343627929688 110223.25
1.8160607814788818 682.7095336914062 118004.3125
1.8155946731567383 682.884765625 119237.4765625
1.8151285648345947 683.0601196289062 122218.71875
1.8146625757217407 683.2355346679688 119807.0
1.8141965866088867 683.4110107421875 100791.3046875
1.8137305974960327 683.5866088867188 115429.140625
1.8132647275924683 683.7622680664062 117816.25
1.8127988576889038 683.93798828125 120150.5859375
1.812333106994629 684.1137084960938 110691.46875
1.8118672370910645 684.2896118164062 109361.203125
1.811401605606079 684.4655151367188 111966.3515625
1.8109358549118042 684.6415405273438 117358.34375
1.8104702234268188 684.817626953125 116022.984375
1.8100045919418335 684.9938354492188 122181.578125
1.8095389604568481 685.1700439453125 116977.4375
1.8090734481811523 685.3463745117188 120221.0703125
1.8086079359054565 685.5227661132812 112379.0546875
