string
description: [ 1.350e-02  2.130e+00  4.150e+03  3.659e+00  2.575e+03 -1.470e+02] RZPA9-S1_3780ms
file210205_PM043550.tif back:data/StrayLight_W_4x945ms roi list:[0, 222, 2048, 1401]
nm eV counts/s
5.797586441040039 213.85484313964844 110672.2265625
5.7961812019348145 213.90670776367188 134665.34375
5.794776439666748 213.95855712890625 164091.40625
5.793371200561523 214.0104522705078 182766.453125
5.791966438293457 214.06234741210938 181642.515625
5.790561676025391 214.11428833007812 182391.640625
5.789157390594482 214.16622924804688 182723.59375
5.787752628326416 214.21820068359375 182819.234375
5.786348342895508 214.2701873779297 183690.234375
5.7849440574646 214.32220458984375 183390.671875
5.783539772033691 214.37425231933594 182742.8125
5.782135963439941 214.42630004882812 182308.0
5.780731678009033 214.47837829589844 182551.21875
5.779327869415283 214.5304718017578 181842.53125
5.777924537658691 214.58258056640625 179283.203125
5.776520729064941 214.63473510742188 180367.765625
5.77511739730835 214.6868896484375 182756.71875
5.773714065551758 214.7390594482422 183693.203125
5.772310733795166 214.79127502441406 184054.4375
5.770907402038574 214.843505859375 184696.703125
5.769504547119141 214.89573669433594 183697.59375
5.768101692199707 214.94801330566406 183665.578125
5.766698837280273 215.00030517578125 184828.140625
5.76529598236084 215.0526123046875 184459.796875
5.7638936042785645 215.1049346923828 182490.015625
5.762491226196289 215.15728759765625 182397.875
5.761088848114014 215.2096710205078 182529.109375
5.759686470031738 215.26205444335938 181601.703125
5.758284568786621 215.31446838378906 182438.375
5.756882190704346 215.36691284179688 184052.3125
5.7554802894592285 215.41937255859375 184636.796875
5.7540788650512695 215.4718475341797 185709.140625
5.752676963806152 215.5243377685547 185746.65625
5.751275539398193 215.5768585205078 185817.25
5.749874114990234 215.62940979003906 184263.625
5.748472690582275 215.68199157714844 185974.0
5.747071743011475 215.73455810546875 186573.765625
5.745670318603516 215.78717041015625 186113.296875
5.744269371032715 215.83981323242188 186033.34375
5.742868423461914 215.8924560546875 186425.96875
5.7414679527282715 215.9451141357422 186268.109375
5.740067481994629 215.997802734375 187225.015625
5.738666534423828 216.050537109375 187078.5625
5.737266540527344 216.10325622558594 185698.21875
5.735866069793701 216.15602111816406 183187.21875
5.734466075897217 216.20880126953125 182766.6875
5.733065605163574 216.2615966796875 184495.328125
5.731666088104248 216.3144073486328 183915.96875
5.730266094207764 216.36724853515625 183734.21875
5.728866100311279 216.42013549804688 184006.4375
5.727466583251953 216.47300720214844 186319.328125
5.726067066192627 216.5259246826172 185742.234375
5.724668025970459 216.57884216308594 184078.359375
5.723268508911133 216.6317901611328 183734.796875
5.721869468688965 216.6847686767578 183713.71875
5.720470428466797 216.73776245117188 183323.0
5.719071388244629 216.790771484375 182503.578125
5.717672824859619 216.84381103515625 181659.0625
5.716273784637451 216.89688110351562 179108.234375
5.714875221252441 216.949951171875 178482.5625
5.713476657867432 217.00306701660156 180964.90625
5.71207857131958 217.05618286132812 182426.28125
5.7106804847717285 217.10931396484375 181882.28125
5.709281921386719 217.16250610351562 181074.203125
5.707884311676025 217.21568298339844 181526.5625
5.706486225128174 217.26890563964844 182696.1875
5.7050886154174805 217.32212829589844 180751.171875
5.703690528869629 217.37539672851562 178959.078125
5.702293395996094 217.42864990234375 179139.453125
5.7008957862854 217.48194885253906 177436.484375
5.699498176574707 217.5352783203125 176362.765625
5.698101043701172 217.588623046875 178149.359375
5.696703910827637 217.64199829101562 180488.234375
5.69530725479126 217.69537353515625 181129.890625
5.693910121917725 217.748779296875 180497.78125
5.692513465881348 217.80221557617188 179003.953125
5.691116809844971 217.8556671142578 177287.484375
5.689720153808594 217.9091339111328 176372.609375
5.688323974609375 217.9626007080078 177516.515625
5.686927318572998 218.01614379882812 177358.5625
5.685531139373779 218.06967163085938 176400.234375
5.684135437011719 218.12322998046875 175333.234375
5.6827392578125 218.17681884765625 175995.015625
5.6813435554504395 218.2304229736328 175082.28125
5.679947853088379 218.28404235839844 174856.4375
5.678552150726318 218.3376922607422 175952.59375
5.677156448364258 218.39137268066406 173876.609375
5.6757612228393555 218.44505310058594 172494.953125
5.674365997314453 218.49876403808594 173228.984375
5.672970771789551 218.55250549316406 173960.546875
5.671575546264648 218.6062774658203 174567.671875
5.670180797576904 218.6600341796875 173968.9375
5.66878604888916 218.71383666992188 174685.71875
5.667391300201416 218.76766967773438 174318.078125
5.665996551513672 218.82151794433594 173556.203125
5.664602279663086 218.87538146972656 174583.296875
5.663207530975342 218.92929077148438 175917.21875
5.661813259124756 218.98318481445312 175654.859375
5.660419464111328 219.03712463378906 177606.078125
5.659025192260742 219.09107971191406 175803.265625
5.6576313972473145 219.1450653076172 175888.28125
5.656237602233887 219.19906616210938 175584.625
