string
description: [ 1.35000e-02  2.13000e+00  2.07426e+03  3.62000e+00  2.57500e+03
 -2.74000e+02] RZPA9 -S2
file210205_PM021552.tif back:data/strayLight_Fe_3x945ms_ roi list:[0, 222, 2048, 1401]
nm eV counts
2.8957698345184326 428.15625 580993.125
2.8950674533843994 428.2601318359375 582055.0
2.8943653106689453 428.3640441894531 588904.3125
2.8936634063720703 428.4679260253906 585113.3125
2.892961263656616 428.5719299316406 560749.9375
2.892259359359741 428.6759338378906 563961.1875
2.891557455062866 428.77996826171875 585751.9375
2.890855550765991 428.88409423828125 622674.75
2.8901538848876953 428.98822021484375 672014.875
2.8894522190093994 429.0923767089844 712422.75
2.8887505531311035 429.19659423828125 744201.1875
2.8880488872528076 429.3008728027344 776461.3125
2.8873472213745117 429.40521240234375 808877.375
2.886645793914795 429.5095520019531 839999.0625
2.885944366455078 429.61395263671875 866659.3125
2.8852429389953613 429.7183837890625 886909.3125
2.8845417499542236 429.8228454589844 904997.25
2.883840322494507 429.9273986816406 918652.0625
2.883139133453369 430.0319519042969 926048.4375
2.8824379444122314 430.1365661621094 933637.125
2.881736993789673 430.2412109375 943519.5625
2.881035804748535 430.3459167480469 970578.25
2.8803348541259766 430.45062255859375 1018434.5
2.879633903503418 430.555419921875 1080876.125
2.8789331912994385 430.66021728515625 1155868.0
2.87823224067688 430.7651062011719 1252810.5
2.8775315284729004 430.8699645996094 1345133.875
2.876830816268921 430.97491455078125 1412101.875
2.8761301040649414 431.0799255371094 1438377.5
2.875429630279541 431.1849670410156 1430910.625
2.8747291564941406 431.2900085449219 1389868.25
2.8740286827087402 431.3951416015625 1336021.375
2.87332820892334 431.50030517578125 1267064.875
2.8726277351379395 431.6054992675781 1225382.875
2.871927499771118 431.71075439453125 1246926.125
2.871227264404297 431.8160095214844 1315160.125
2.8705270290374756 431.92138671875 1421967.875
2.8698270320892334 432.0267028808594 1560224.625
2.869126796722412 432.1321716308594 1723689.125
2.86842679977417 432.23760986328125 1874762.875
2.8677268028259277 432.3431396484375 1993836.0
2.8670270442962646 432.4486389160156 2087458.5
2.8663270473480225 432.55426025390625 2136804.25
2.8656272888183594 432.6598815917969 2135525.25
2.8649275302886963 432.76556396484375 2094910.625
2.8642280101776123 432.8712463378906 2010121.625
2.863528251647949 432.97705078125 1905333.875
2.8628287315368652 433.08282470703125 1769208.875
2.8621292114257812 433.18865966796875 1606748.125
2.8614296913146973 433.2945861816406 1441829.125
2.8607304096221924 433.4004821777344 1265996.75
2.8600311279296875 433.5064392089844 1086068.625
2.8593318462371826 433.61248779296875 923515.875
2.8586325645446777 433.71856689453125 778941.0625
2.857933282852173 433.8246765136719 662609.0625
2.857234239578247 433.9307861328125 568755.0625
2.8565351963043213 434.0370178222656 505761.78125
2.8558361530303955 434.14324951171875 466714.28125
2.855137348175049 434.24951171875 445245.75
2.854438304901123 434.3558349609375 435399.4375
2.8537395000457764 434.4621887207031 434081.0
2.853040933609009 434.5685729980469 444066.875
2.852342128753662 434.675048828125 451259.65625
2.8516435623168945 434.7815246582031 453810.34375
2.850944757461548 434.88812255859375 456127.21875
2.8502464294433594 434.9946594238281 461259.0625
2.849547863006592 435.101318359375 473179.40625
2.8488495349884033 435.2079772949219 514190.28125
2.8481509685516357 435.314697265625 581236.125
2.8474526405334473 435.4214782714844 663713.3125
2.846754550933838 435.5282287597656 764054.875
2.8460562229156494 435.6351013183594 875683.5
2.84535813331604 435.74200439453125 984070.1875
2.8446600437164307 435.848876953125 1074683.125
2.8439619541168213 435.95587158203125 1118096.875
2.843264102935791 436.0628967285156 1113661.5
2.8425662517547607 436.1699523925781 1067636.625
2.8418684005737305 436.2770690917969 994674.375
2.8411705493927 436.38421630859375 899653.375
2.84047269821167 436.4914245605469 820452.8125
2.8397750854492188 436.5986328125 783959.5625
2.8390774726867676 436.7059326171875 801351.125
2.8383798599243164 436.8132629394531 887425.8125
2.8376822471618652 436.920654296875 1049895.625
2.836984872817993 437.0280456542969 1278448.125
2.836287498474121 437.135498046875 1553203.75
2.835590124130249 437.2430114746094 1835456.5
2.834892749786377 437.3505554199219 2094691.375
2.834195613861084 437.4581604003906 2292851.5
2.833498477935791 437.5657958984375 2387524.0
2.832801342010498 437.6734619140625 2342111.5
2.832104206085205 437.78118896484375 2197904.25
2.831407308578491 437.8889465332031 1966459.125
2.8307104110717773 437.99676513671875 1688240.875
2.8300135135650635 438.1046142578125 1413057.375
2.8293166160583496 438.2125244140625 1163825.0
2.8286197185516357 438.32049560546875 971547.8125
2.827923059463501 438.428466796875 840577.5
2.827226400375366 438.5364990234375 778089.6875
2.8265297412872314 438.64459228515625 766124.6875
2.825833320617676 438.752685546875 788467.5
2.82513689994812 438.86083984375 837179.375
2.8244402408599854 438.9690856933594 903673.25
2.823744058609009 439.07733154296875 969528.625
