string
description: W
filedata_intensity/210205_PM040653_calibrated_analytical cal:filter / ccd / qe see cal files
eV Nphoton/s *sr @ 0.1%bw
676.7019653320312 93428292122.27776
676.8681640625 93389740392.7448
677.0345458984375 93566298405.49092
677.200927734375 93049550490.1297
677.3673706054688 93206497778.8426
677.533935546875 93347986257.81737
677.7005615234375 93685052944.72586
677.8671875 93176410242.34084
678.033935546875 93204516013.84111
678.2007446289062 92468606895.133
678.3676147460938 91521830991.67892
678.5345458984375 91691622849.40355
678.7015380859375 91778464433.89665
678.86865234375 91212569107.83023
679.0357666015625 90792974977.84555
679.2030029296875 90771691332.98431
679.3702392578125 90134694041.11095
679.5377197265625 89736811277.4746
679.7051391601562 90013186584.38292
679.87255859375 89433725928.23334
680.0401000976562 88529870988.1154
680.207763671875 87935341753.63268
680.3754272460938 87159543333.78276
680.543212890625 86888859811.43095
680.7110595703125 86283926507.02979
680.8789672851562 85733808575.48343
681.0469360351562 84986092361.56285
681.2149658203125 83948373962.94199
681.383056640625 82909025811.9757
681.55126953125 82933865411.77335
681.7195434570312 83189923477.27655
681.8878173828125 83567614364.63568
682.0562744140625 83175562013.23521
682.2247314453125 82527646327.12057
682.3931884765625 82377475021.18742
682.5618286132812 81670573972.6677
682.7305297851562 81231061665.4777
682.8992309570312 81184592919.61752
683.0680541992188 81563158995.5166
683.2368774414062 81187140956.51176
683.4058837890625 80523604079.71384
683.5748291015625 80408421285.37321
683.7439575195312 80893868636.89218
683.9130859375 80990416918.16019
684.0823364257812 81006836485.02881
684.2516479492188 81495756387.32663
684.4209594726562 81258400631.75854
684.5904541015625 81159939810.45369
684.7599487304688 81363800695.38873
684.9295043945312 81647293273.45338
685.0991821289062 81571858681.7994
685.2688598632812 81360217962.44437
685.4386596679688 81549685222.34364
685.6085205078125 80965649942.51071
685.7784423828125 81207096451.78894
685.9484252929688 81656703848.51857
686.1185302734375 81727986348.95195
686.2886962890625 82169681778.55965
686.4588623046875 82006110478.68039
686.629150390625 81694119988.30264
686.7994995117188 81687271436.76987
686.9699096679688 81943328633.29765
687.140380859375 82256690216.5692
687.3109741210938 82499655010.46191
687.4816284179688 82524999461.19165
687.6522827148438 82674024296.76994
687.8230590820312 83130742770.70023
687.993896484375 83269201817.32016
688.1648559570312 83149753378.73341
688.3358154296875 82753757939.14374
688.5068359375 82707162462.62857
688.677978515625 83143386959.13637
688.8491821289062 83009046820.01418
689.0205078125 82962108484.24709
689.1917724609375 83363775545.8175
689.3632202148438 83855238450.70035
689.5347290039062 83765700074.16383
689.7062377929688 84306267005.73378
689.8778686523438 84821122906.57794
690.0496215820312 85296329757.61398
690.2213134765625 85201950870.20676
690.3931884765625 85355018064.25038
690.5650634765625 84999662108.12224
690.737060546875 84680933596.79022
690.9091796875 84885751661.98526
691.0812377929688 84991303317.81148
691.25341796875 85236069545.1821
691.4257202148438 85217477054.72397
691.5980224609375 85483729398.7659
691.7705078125 86072442096.75096
691.9429321289062 86186911410.22865
692.1155395507812 85904337001.37662
692.2881469726562 85469847502.34056
692.4608764648438 85670881172.17216
692.6336059570312 85680396981.64291
692.8064575195312 86172681829.99324
692.9793701171875 86794748954.0937
693.15234375 86584877688.42723
693.325439453125 86272589807.04993
693.49853515625 86344652343.22813
693.6717529296875 86510914292.6842
693.8450317382812 86883696135.48743
694.0184326171875 87482303334.97484
694.1918334960938 87338153154.63724
694.3653564453125 87274228899.60202
694.5388793945312 87197248141.55606
694.7125244140625 87259099005.21605
694.88623046875 87094151170.34364
695.06005859375 87050429004.85979
695.23388671875 86882943754.62045
695.4078369140625 86213596134.39182
695.5818481445312 86215331885.60593
695.7559204101562 86259091650.38193
695.9299926757812 85445219031.36803
696.104248046875 84820320395.4499
696.278564453125 84802531286.69594
696.4529418945312 84347048834.34895
696.6273193359375 83892238686.80865
696.8018798828125 83185258669.53157
696.9764404296875 82824078658.90094
697.1511840820312 82640476560.82176
697.3258666992188 82327692156.2094
697.5006713867188 82325586079.50945
697.6754760742188 81875807558.2029
697.8505249023438 81297441685.51918
698.0255737304688 80617218106.92407
698.2005615234375 80361231671.7275
698.3757934570312 80455213889.51012
698.551025390625 79918500644.72557
698.7263793945312 79523174111.47908
698.9017333984375 78881765427.56369
699.0772094726562 77156933414.24858
699.2527465820312 76738945651.32518
699.4283447265625 76187476105.12648
699.6040649414062 75431023004.63066
699.77978515625 74417068241.53845
699.9556274414062 73910701711.3775
700.131591796875 72863706799.51883
700.3075561523438 71913720337.65723
700.4835815429688 70652818494.34053
700.6597290039062 69412587066.11098
700.8359375 68525880794.097
701.01220703125 67882354464.35415
701.1885375976562 66468413336.7916
701.364990234375 66101903511.233154
701.5414428710938 66289274985.4115
701.7180786132812 66261671932.395195
701.894775390625 67399475629.97553
702.0714721679688 68437248362.58009
702.248291015625 69376772598.02567
702.4251708984375 70796059211.33081
702.6021118164062 72178097392.08662
702.7791137695312 72472749796.77719
702.9561767578125 73222066574.37656
703.1333618164062 74704031688.80235
