string
description: Fe
filedata_intensity/210205_PM012548_calibrated_analytical cal:filter / ccd / qe see cal files
eV Nphoton/s *sr @ 0.1%bw
678.033935546875 4681738607.291171
678.2007446289062 4751657408.789558
678.3676147460938 4893006074.823616
678.5345458984375 4831379528.111383
678.7015380859375 4753704604.584093
678.86865234375 4705535661.773903
679.0357666015625 4594240622.359563
679.2030029296875 4474628113.486559
679.3702392578125 4379511584.180004
679.5377197265625 4882659431.654727
679.7051391601562 4938101838.388299
679.87255859375 4770528367.114121
680.0401000976562 4715834862.695639
680.207763671875 4725749755.336748
680.3754272460938 4628161494.678664
680.543212890625 4760543989.1303005
680.7110595703125 4875909327.44909
680.8789672851562 5007711751.564301
681.0469360351562 4973292592.810336
681.2149658203125 4870605900.634998
681.383056640625 4890225423.855672
681.55126953125 4790260324.499289
681.7195434570312 4765137480.738829
681.8878173828125 4843999713.827339
682.0562744140625 4765688307.14274
682.2247314453125 4844939982.723534
682.3931884765625 4930623745.547227
682.5618286132812 4875537117.980515
682.7305297851562 4830900403.040519
682.8992309570312 4776219142.263977
683.0680541992188 4605880000.557491
683.2368774414062 4529647793.626256
683.4058837890625 4524122108.837313
683.5748291015625 4517045669.603759
683.7439575195312 4641228391.149669
683.9130859375 4621241763.265549
684.0823364257812 4566563872.617087
684.2516479492188 4688490302.295667
684.4209594726562 4745276793.254222
684.5904541015625 4745690639.254682
684.7599487304688 4739886743.971871
684.9295043945312 4919426723.906738
685.0991821289062 4727262712.093757
685.2688598632812 4568392993.54187
685.4386596679688 4529699930.827273
685.6085205078125 4626617511.588834
685.7784423828125 4615620385.57997
685.9484252929688 4793781667.716753
686.1185302734375 5000062121.216247
686.2886962890625 5079821201.505661
686.4588623046875 4935884183.555643
686.629150390625 5097389577.925509
686.7994995117188 5142680505.577123
686.9699096679688 5172810150.131732
687.140380859375 5177186715.503353
687.3109741210938 4891528313.401562
687.4816284179688 4908206470.937337
687.6522827148438 4921381267.817639
687.8230590820312 4781637207.768702
687.993896484375 4878350646.502555
688.1648559570312 4674639644.6397295
688.3358154296875 4546891151.426976
688.5068359375 4676093274.505102
688.677978515625 4945876422.905811
688.8491821289062 5051129431.744403
689.0205078125 4986239345.671979
689.1917724609375 5046771159.697754
689.3632202148438 5462875952.916249
689.5347290039062 5590137733.808167
689.7062377929688 5688790886.490667
689.8778686523438 5679199172.403985
690.0496215820312 5706272338.3275585
690.2213134765625 5538555373.073348
690.3931884765625 5524717350.784873
690.5650634765625 5378881951.58324
690.737060546875 4971473635.424574
690.9091796875 5266922304.783566
691.0812377929688 5509975248.34096
691.25341796875 5513692326.066584
691.4257202148438 5511885198.91484
691.5980224609375 5635450327.711524
691.7705078125 5798890029.933824
691.9429321289062 6149542434.377772
692.1155395507812 6200967625.187689
692.2881469726562 6287236362.638388
692.4608764648438 6152658995.44037
692.6336059570312 6094699718.443298
692.8064575195312 6123045327.08998
692.9793701171875 6413480825.60346
693.15234375 6419103704.622835
693.325439453125 6213160011.853046
693.49853515625 6286003091.284945
693.6717529296875 6565480692.375362
693.8450317382812 6791733554.153577
694.0184326171875 6706401924.43451
694.1918334960938 6545063408.902323
694.3653564453125 6442784941.451683
694.5388793945312 6506719663.933522
694.7125244140625 6731721873.375752
694.88623046875 6910373752.453651
695.06005859375 6942041953.713412
695.23388671875 7013827284.003672
695.4078369140625 6993088296.733341
695.5818481445312 6944078993.180696
695.7559204101562 7095249451.512155
695.9299926757812 7390062531.123595
696.104248046875 7287582838.681494
696.278564453125 7558844258.532991
696.4529418945312 7783958573.6002655
696.6273193359375 7887555551.345193
696.8018798828125 8169926684.853418
696.9764404296875 8287255771.736987
697.1511840820312 8325054628.231495
697.3258666992188 8269430278.254704
697.5006713867188 7915695026.110412
697.6754760742188 7612510867.493334
697.8505249023438 7412064380.4147625
698.0255737304688 7158931363.1985
698.2005615234375 6915363074.04798
698.3757934570312 7104152382.174684
698.551025390625 7044717083.480836
698.7263793945312 7068798278.98218
698.9017333984375 7318719427.874252
699.0772094726562 7362957366.112271
699.2527465820312 7597722722.288239
699.4283447265625 7739109233.647457
699.6040649414062 7910973193.60103
699.77978515625 7845872970.602363
699.9556274414062 7553872026.94974
700.131591796875 7604949379.425211
700.3075561523438 7577490481.493162
700.4835815429688 7460466154.569609
700.6597290039062 7353789302.24816
700.8359375 7096474518.812803
701.01220703125 7175073162.705263
701.1885375976562 7068180053.32582
701.364990234375 7077609667.020607
701.5414428710938 7195291469.063592
701.7180786132812 7189466965.663567
701.894775390625 7040323417.037444
702.0714721679688 7230410769.276212
702.248291015625 7348102747.31539
702.4251708984375 7351130650.275597
702.6021118164062 7510269040.64187
702.7791137695312 7627143422.79277
702.9561767578125 7977573533.917015
703.1333618164062 8100741114.361708
703.3106079101562 8243407850.2725725
703.4879150390625 8433830445.5460615
703.6653442382812 8335638578.88773
703.8427734375 8495129600.982329
704.0203857421875 8663690102.702904
704.1979370117188 9054067234.313284
704.3756713867188 9632318789.892408
704.553466796875 10097157383.043516
704.7313232421875 10546138971.130337
704.9091796875 10977323056.246687
705.0872192382812 11271656743.76946
705.2652587890625 11620808796.176416
705.4434204101562 12071025503.555868
705.6216430664062 12477443659.005384
705.7999267578125 12407909888.713127
705.9783325195312 12378151155.419876
706.15673828125 12224877484.847755
706.3352661132812 11907205685.922466
706.5138549804688 11652569796.540735
706.6925659179688 11374791091.74664
706.8712768554688 11211541251.586184
707.0501098632812 11199649840.978148
707.22900390625 11500835670.099905
707.4080200195312 11778098661.895802
707.5870361328125 12006743899.72727
707.7661743164062 11786929395.422115
707.9454345703125 11737352814.70516
708.1246337890625 12232752939.900003
708.3040161132812 12899290901.098007
708.4834594726562 14234735779.42786
708.6630249023438 16647834611.634974
708.8425903320312 20003763408.53305
709.022216796875 24107844921.97075
709.2019653320312 28757377279.45943
709.3817749023438 32954736856.27151
709.5616455078125 36334677477.3026
709.7416381835938 37712758810.67399
709.921630859375 37390159023.04223
710.1017456054688 35729738746.803345
710.281982421875 32814557305.053837
710.4622192382812 29281712391.88484
710.642578125 26293294820.76807
710.822998046875 23707827893.911007
711.0035400390625 22036230770.166374
711.18408203125 21402977732.54921
711.36474609375 21937115811.415913
711.5455322265625 22638429905.280018
711.726318359375 22993836923.21353
711.9071655273438 23059172505.75395
712.088134765625 22714327554.477608
712.2691650390625 21933752778.70019
712.4503173828125 21734927625.495697
712.6314697265625 22178230075.76638
712.812744140625 23228934888.57306
712.994140625 25239902166.851448
713.175537109375 27648273495.797928
713.3570556640625 30161920725.69945
713.5386352539062 32685956116.006504
713.7202758789062 34285031508.608654
713.9020385742188 34735267654.30856
714.0838012695312 34193089033.597363
714.2657470703125 33506814255.44827
714.4476928710938 32349879291.719765
714.6297607421875 30865829657.28754
714.8118286132812 29884411054.235332
714.9940795898438 28983145479.13447
715.1763305664062 28482327615.9038
715.358642578125 27041328934.6692
715.5411376953125 25172278856.331257
715.7236328125 23270646743.927006
715.9061889648438 21030584142.765316
716.0889282226562 18497442229.87133
716.2716674804688 16349172493.415781
716.4544677734375 14830936083.062973
716.6373901367188 13416460115.836786
716.8203735351562 12008376764.68134
717.00341796875 10911592239.52169
717.1865844726562 9732285139.806334
717.3697509765625 8831270210.95451
717.5530395507812 8396161879.097477
717.7363891601562 8174654530.458619
717.9198608398438 7961931529.727763
718.1033935546875 7896299149.071609
718.2869873046875 7584616393.209722
718.470703125 7558543358.039628
718.6544189453125 7690303513.14446
718.8383178710938 7769105606.3644905
719.022216796875 8016341872.5789385
719.2062377929688 8556036753.751275
719.3903198242188 9645002944.033945
719.5745239257812 10876222506.462917
719.7587280273438 12573137379.814295
719.9429931640625 14495598847.109804
720.12744140625 16587487495.377842
720.3118896484375 18719875281.184296
720.4964599609375 21279512344.55801
720.6810913085938 24318300257.296055
720.8658447265625 27809029414.726196
721.0505981445312 31948407712.913654
721.2354736328125 36453771858.632164
721.42041015625 40139399633.85986
721.60546875 42731567913.1028
721.7905883789062 44169848053.35299
721.9757690429688 44152315073.570564
722.1610107421875 42490878591.021
722.3463745117188 39464924129.11081
722.5317993164062 36365726878.37032
722.7173461914062 33961002969.6857
722.9028930664062 31669379521.64089
723.0885009765625 30203888922.034985
723.2742919921875 29500628366.947533
723.4601440429688 29780340757.267563
723.6460571289062 30095339350.959103
723.83203125 30237397761.03833
724.01806640625 30720827076.599434
724.2042846679688 31696186283.63287
724.3904418945312 33411097223.163868
724.5767822265625 36127293962.00376
724.76318359375 39362455204.106544
724.9496459960938 42227407459.80842
725.1361694335938 43939588333.76645
725.3228149414062 44404075243.23332
725.509521484375 43301631922.70793
725.6963500976562 41466537435.19002
725.8831787109375 39163581027.9873
726.0701293945312 37151984784.852455
726.2572021484375 35889605939.209274
726.4443359375 36707254298.72553
726.6314697265625 40576686806.24903
726.8187866210938 49656788218.29261
727.006103515625 67028130257.30312
727.1935424804688 96397430635.0564
727.3810424804688 139333595311.56354
727.5686645507812 197352976603.42178
727.7564086914062 262592705360.92426
727.944091796875 324242478658.4121
728.1319580078125 373618370439.6194
728.3198852539062 398733072618.42896
728.5079345703125 394255544628.347
728.696044921875 359291924670.7271
728.8840942382812 298936893090.66345
729.0724487304688 228781978458.31467
729.2607421875 160576991807.72598
729.4490966796875 104571514047.14449
729.6376342773438 64138603487.482544
729.826171875 38030303524.97709
730.014892578125 22763498696.65432
730.20361328125 15309546473.002203
730.3924560546875 12182765861.181767
730.5813598632812 10990127359.547703
730.7703247070312 10429548847.695972
730.9594116210938 10312534821.131243
731.1484985351562 10083718648.7908
731.3377685546875 9401440899.577522
731.527099609375 8396807608.543879
731.7164306640625 7466359453.64424
731.906005859375 7181850190.327306
732.0955200195312 7331065184.657014
732.28515625 7451975732.404603
732.474853515625 8011682077.872779
732.6647338867188 8771206790.549267
732.8545532226562 9749473974.348097
733.0445556640625 10671154422.54806
733.234619140625 11322243465.137867
733.4248046875 11672938054.19319
733.614990234375 11743484781.511019
733.8052978515625 11838820802.207758
733.9956665039062 12400247210.354107
734.1861572265625 13153864725.393124
734.376708984375 14860480756.758698
734.5673217773438 16729665820.53811
734.7579956054688 18733316759.520767
734.9488525390625 20274746407.49609
735.1397094726562 20787205881.83105
735.3306884765625 20697102024.846596
735.521728515625 20119462694.507137
735.712890625 18601240974.11807
735.904052734375 16524823202.722734
736.0953369140625 14347356665.404926
736.2867431640625 12673064584.639736
736.4782104492188 11640053636.543112
736.6697387695312 11366291077.763063
736.8614501953125 11769862176.326345
737.0531616210938 13254942131.91159
737.2449340820312 15268554866.39406
737.4368286132812 16743366092.83783
737.6287841796875 18481675956.79903
737.82080078125 19739150412.244484
738.0130004882812 20768230957.508255
738.2052001953125 21616259545.337673
738.3975219726562 22927186581.736607
738.5899047851562 26550462525.203552
738.7824096679688 35406372807.049095
738.9749755859375 53062509013.912224
739.1676025390625 82637651153.36813
739.3603515625 125219135431.74585
739.5531005859375 179011388005.95154
